EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000506	HBIN031993	kainic acid	Ingredient	GSE73878	Mus musculus	C57BL/6J	Hippocampus			Expression profiling by array	Total RNA	12 week old C57BL/6J mouse	C57BL/6J; Hippocampus	/	saline	GSM1904764; GSM1904798; GSM1904812; GSM1904831	IL_KA (1 nmol) for 28 days	GSM1904761; GSM1904770; GSM1904779; GSM1904783; GSM1904797; GSM1904802; GSM1904810; GSM1904813; GSM1904837	injection	GPL6885:Illumina MouseRef-8 v2.0 expression beadchip
HBEXP000507	HBIN031993	kainic acid	Ingredient	GSE73878	Mus musculus	C57BL/6J	Hippocampus			Expression profiling by array	Total RNA	12 week old C57BL/6J mouse	C57BL/6J; Hippocampus	/	saline	GSM1904764; GSM1904798; GSM1904812; GSM1904831	IL_KA (1 nmol) for 60 days	GSM1904762; GSM1904776; GSM1904794; GSM1904805; GSM1904807; GSM1904821; GSM1904832; GSM1904835; GSM1904836	injection	GPL6885:Illumina MouseRef-8 v2.0 expression beadchip
HBEXP000508	HBIN031993	kainic acid	Ingredient	GSE73878	Mus musculus	C57BL/6J	Hippocampus			Expression profiling by array	Total RNA	12 week old C57BL/6J mouse	C57BL/6J; Hippocampus	/	saline	GSM1904768; GSM1904771; GSM1904780; GSM1904825	CL_KA (1 nmol) for 7 days	GSM1904769; GSM1904777; GSM1904782; GSM1904791; GSM1904814; GSM1904815; GSM1904834; GSM1904838	injection	GPL6885:Illumina MouseRef-8 v2.0 expression beadchip
HBEXP000509	HBIN031993	kainic acid	Ingredient	GSE73878	Mus musculus	C57BL/6J	Hippocampus			Expression profiling by array	Total RNA	12 week old C57BL/6J mouse	C57BL/6J; Hippocampus	/	saline	GSM1904768; GSM1904771; GSM1904780; GSM1904825	CL_KA (1 nmol) for 28 days	GSM1904778; GSM1904781; GSM1904785; GSM1904790; GSM1904792; GSM1904804; GSM1904818; GSM1904827; GSM1904829	injection	GPL6885:Illumina MouseRef-8 v2.0 expression beadchip
HBEXP000510	HBIN031993	kainic acid	Ingredient	GSE73878	Mus musculus	C57BL/6J	Hippocampus			Expression profiling by array	Total RNA	12 week old C57BL/6J mouse	C57BL/6J; Hippocampus	/	saline	GSM1904768; GSM1904771; GSM1904780; GSM1904825	CL_KA (1 nmol) for 60 days	GSM1904773; GSM1904784; GSM1904801; GSM1904803; GSM1904806; GSM1904816; GSM1904822; GSM1904833; GSM1904839	injection	GPL6885:Illumina MouseRef-8 v2.0 expression beadchip
HBEXP000511	HBIN031993	kainic acid	Ingredient	GSE79129	Mus musculus	C57BL/6J	Dentate gyrus			Expression profiling by array	Total RNA	mouse C57/Black6J	C57BL/6J; Dentate gyrus	/	saline 	GSM2086317; GSM2086318; GSM2086319	low dose kainic acid for 72h	GSM2086320; GSM2086321; GSM2086322	injection	GPL6887:Illumina MouseWG-6 v2.0 expression beadchip
HBEXP000512	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 6h	GSM2647638; GSM2647639; GSM2647640; GSM2647641; GSM2647642; GSM2647643; GSM2647644; GSM2647645; GSM2647646; GSM2647647; GSM2647648; GSM2647649	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000513	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 2 days	GSM2647662; GSM2647663; GSM2647664; GSM2647665; GSM2647666; GSM2647667; GSM2647668; GSM2647669; GSM2647670; GSM2647671; GSM2647672; GSM2647673	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000514	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 4 days	GSM2647686; GSM2647687; GSM2647688; GSM2647689; GSM2647690; GSM2647691; GSM2647692; GSM2647693; GSM2647694; GSM2647695; GSM2647696; GSM2647697	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000515	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 1 day	GSM2647710; GSM2647711; GSM2647712; GSM2647713; GSM2647714; GSM2647715; GSM2647716; GSM2647717; GSM2647718; GSM2647719; GSM2647720; GSM2647721	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000516	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 6 days	GSM2647734; GSM2647735; GSM2647736; GSM2647737; GSM2647738; GSM2647739; GSM2647740; GSM2647741; GSM2647742; GSM2647743; GSM2647744; GSM2647745	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000517	HBIN031993	kainic acid	Ingredient	GSE99577	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL6	C57BL/6; Hippocampus	/	NACl	GSM2647626; GSM2647627; GSM2647628; GSM2647629; GSM2647630; GSM2647631; GSM2647632; GSM2647633; GSM2647634; GSM2647635; GSM2647636; GSM2647637	focal kainic acid (KA) injection for 12 days	GSM2647758; GSM2647759; GSM2647760; GSM2647761; GSM2647762; GSM2647763; GSM2647764; GSM2647765; GSM2647766; GSM2647767; GSM2647768; GSM2647769	injection	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000518	HBIN032194	kinetin	Ingredient	GSE27915	Homo sapiens		Olfactory ecto	Mesenchymal stem cell		Expression profiling by array	Total RNA	human cellline	Olfactory ecto; Mesenchymal stem cell	in the presence of retinoic acid, forskolin and Sonic Hedgehog (rafnshh) for 7 days to induce neuroglial differentiation	no treatment	GSM689449; GSM689450; GSM689453; GSM689458	kinetin (100 mM for 48h)	GSM689445; GSM689451; GSM689454; GSM689456	treated	GPL4133:Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)
HBEXP000519	HBIN032453	kynurenine	Ingredient	GSE108158	Mus musculus		Inguinal	Adypocyte		Expression profiling by array	Total RNA	mouse cellline	Inguinal; Adypocyte	/	control	GSM2891389; GSM2891390; GSM2891391	50uM of kynurenic acid for 12h	GSM2891392; GSM2891393; GSM2891394	treated	GPL16570:[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [transcript (gene) version]
HBEXP000520	HBIN032673	l-arginine	Ingredient	GSE34874	Mus musculus	C57BL/6	Colon			Expression profiling by array	Total RNA	mouse C57BL/6	C57BL/6; Colon	/	control	GSM856807; GSM856808; GSM856809	1% L-arginine in the drinking water (10-day protocol)	GSM856810; GSM856811; GSM856812	exposed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000521	HBIN033093	licochalcone a	Ingredient	GSE137934	Homo sapiens			Fibrosarcoma	HT1080	Expression profiling by high throughput sequencing	mRNA	human cellline	Fibrosarcoma; HT1080	/	DMSO	GSM4094630; GSM4094631	Licochalcone A for 24h	GSM4094632; GSM4094633	treated	GPL16791:Illumina HiSeq 2500 (Homo sapiens)
HBEXP000522	HBIN033265	linalool	Ingredient	GSE45961	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	lipid-loaded	control	GSM1120370; GSM1120371; GSM1120372	1 mM linalool for 24 h	GSM1120376; GSM1120377	treated	GPL13287:Phalanx Human OneArray [Annotation HOA5 release 1.0]
HBEXP000523	HBIN033339	linolenic acid	Ingredient	GSE72924	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse C57Bl6/J	C57BL/6J; Liver	/	control diet	GSM1874724; GSM1874725	ALA diet	GSM1874726; GSM1874727	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000524	HBIN033376	liquiritigenin	Ingredient	GSE93807	Homo sapiens			Ovarian cancer	ES2	Expression profiling by high throughput sequencing	mRNA	human cellline	Ovarian cancer; ES2	/	vehicle control	GSM2462751; GSM2462752	liquiritigenin for 24h	GSM2462753; GSM2462754	treated	GPL21290:Illumina HiSeq 3000 (Homo sapiens)
HBEXP000525	HBIN033383	Liquiritin	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Liquiritin for 12h	GSM2286356; GSM2286357	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.82 Array
HBEXP000526	HBIN033455	Lobetyolin	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Lobetyolin for 12h	GSM2286218; GSM2286219	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.15 Array
HBEXP000527	HBIN033803	luteolin	Ingredient	GSE111412	Mus musculus	C57BL/6J	Epididymal adipose			Expression profiling by array	Total RNA	mouse C56BL/6J	C57BL/6J; Epididymal adipose	/	high-fat diet	GSM3030366; GSM3030367; GSM3030368	0.005% (w/w) luteolin added high-fat diet for 16 weeks	GSM3030369; GSM3030370; GSM3030371	feed	GPL6887:Illumina MouseWG-6 v2.0 expression beadchip
HBEXP000528	HBIN033803	luteolin	Ingredient	GSE128097	Homo sapiens			Osteosarcoma	U2OS	Expression profiling by high throughput sequencing	mRNA	human cellline	Osteosarcoma; U2OS	/	DMSO	GSM3664874; GSM3664875	75uM luteolin for 24 h 	GSM3664878; GSM3664879	treated	GPL18573:Illumina NextSeq 500 (Homo sapiens)
HBEXP000529	HBIN033803	luteolin	Ingredient	GSE18740	Mus musculus			Microglial cell	BV-2	Expression profiling by array	Total RNA	mouse	Microglial cell; BV-2	/	no treatment	GSM465440; GSM465441; GSM465442	50uM Luteolin for 24h 	GSM465443; GSM465444; GSM465445	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000530	HBIN033803	luteolin	Ingredient	GSE53180	Homo sapiens			Prostate cancer	PC-3	Expression profiling by array	Total RNA	human cellline	Prostate cancer; PC-3	/	DMSO	GSM1286085; GSM1286090	60uM luteolin (Lut) for 24h	GSM1286086; GSM1286091	treated	GPL4133:Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)
HBEXP000531	HBIN033803	luteolin	Ingredient	GSE54189	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse  C56BL/6J	C57BL/6J; Liver	/	high-fat diet	GSM1309485; GSM1309486; GSM1309487	high-fat diet add 0.005% (w/w) luteolin (LU) for 16 weeks	GSM1309488; GSM1309489; GSM1309490	feed	GPL6887:Illumina MouseWG-6 v2.0 expression beadchip
HBEXP000532	HBIN033803	luteolin	Ingredient	GSE54189	Mus musculus	C57BL/6J	Adipose			Expression profiling by array	Total RNA	mouse  C56BL/6J	C57BL/6J; Adipose	/	high-fat diet	GSM1309494; GSM1309495; GSM1309496	high-fat diet add 0.005% (w/w) luteolin (LU) for 16 weeks	GSM1309497; GSM1309498; GSM1309499	feed	GPL6887:Illumina MouseWG-6 v2.0 expression beadchip
HBEXP000533	HBIN033803	luteolin	Ingredient	GSE75029	Homo sapiens			Tongue squamous cell carcinoma	Cal27	Expression profiling by array	Total RNA	human cellline	Tongue squamous cell carcinoma; Cal27	/	DMSO	GSM1941041; GSM1941042	10uM luteolin for 24h	GSM1941043; GSM1941044	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000534	HBIN033803	luteolin	Ingredient	GSE75029	Homo sapiens			Tongue squamous cell carcinoma	Cal27	Expression profiling by array	Total RNA	human cellline	Tongue squamous cell carcinoma; Cal27	/	DMSO	GSM1941041; GSM1941042	25uM luteolin for 24h	GSM1941045; GSM1941046	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000535	HBIN033972	lycopene	Ingredient	GSE27140	Homo sapiens		Prostate cancer			Expression profiling by array	Total RNA	human	Prostate cancer	/	before treatment	GSM670573; GSM670581; GSM670591; GSM670593; GSM670601; GSM670605; GSM670607; GSM670609; GSM670631; GSM670633; GSM670635; GSM670639; GSM670645; GSM670647; GSM670649; GSM670661; GSM670667; GSM670669; GSM670679; GSM670681; GSM670691; GSM670693; GSM670695; GSM670705; GSM670707; GSM670709; GSM670725; GSM670729; GSM670737	a 3-month intervention of lycopene	GSM670574; GSM670582; GSM670592; GSM670594; GSM670602; GSM670606; GSM670608; GSM670610; GSM670632; GSM670634; GSM670636; GSM670640; GSM670646; GSM670648; GSM670650; GSM670662; GSM670668; GSM670670; GSM670680; GSM670682; GSM670692; GSM670694; GSM670696; GSM670706; GSM670708; GSM670710; GSM670726; GSM670730; GSM670738	oral	GPL13136:UCSF/HAQQLAb_Human_40986
HBEXP000536	HBIN034250	Magnolol	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Magnolol for 12h	GSM2286346; GSM2286347	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.77 Array
HBEXP000537	HBIN034420	mannitol	Ingredient	GSE58235	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	DMSO solvent control	GSM1404414; GSM1404419; GSM1404424	250uM for 4h	GSM1404474; GSM1404479; GSM1404484	exposed	GPL15798:Affymetrix HT HG-U133+ PM Array Plate [CDF: HTHGU133PlusPM_Hs_ENTREZG_v14];GPL18756:Affymetrix HG-U133_PLUS_2[CDF: HGU133Plus2_Hs_ENTREZG_14.1.0]
HBEXP000538	HBIN034420	mannitol	Ingredient	GSE58235	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	DMSO solvent control	GSM1404414; GSM1404419; GSM1404424	250uM for 8h	GSM1404475; GSM1404480; GSM1404485	exposed	GPL15798:Affymetrix HT HG-U133+ PM Array Plate [CDF: HTHGU133PlusPM_Hs_ENTREZG_v14];GPL18756:Affymetrix HG-U133_PLUS_2[CDF: HGU133Plus2_Hs_ENTREZG_14.1.0]
HBEXP000539	HBIN034420	mannitol	Ingredient	GSE58235	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	DMSO solvent control	GSM1404414; GSM1404419; GSM1404424	250uM for 24h	GSM1404476; GSM1404481; GSM1404486	exposed	GPL15798:Affymetrix HT HG-U133+ PM Array Plate [CDF: HTHGU133PlusPM_Hs_ENTREZG_v14];GPL18756:Affymetrix HG-U133_PLUS_2[CDF: HGU133Plus2_Hs_ENTREZG_14.1.0]
HBEXP000540	HBIN034420	mannitol	Ingredient	GSE58235	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	DMSO solvent control	GSM1404414; GSM1404419; GSM1404424	250uM for 72h	GSM1404478; GSM1404483; GSM1404488	exposed	GPL15798:Affymetrix HT HG-U133+ PM Array Plate [CDF: HTHGU133PlusPM_Hs_ENTREZG_v14];GPL18756:Affymetrix HG-U133_PLUS_2[CDF: HGU133Plus2_Hs_ENTREZG_14.1.0]
HBEXP000541	HBIN034421	mannose	Ingredient	GSE110333	Mus musculus	C57BL/6J	Epididymal adipose			Expression profiling by array	Total RNA	mouse C57BL6/J	C57BL/6J; Epididymal adipose	/	high-fat diet	GSM2987603; GSM2987604; GSM2987605	HFD and 2% mannose in drinking water	GSM2987606; GSM2987607; GSM2987608	feed	GPL6887:Illumina MouseWG-6 v2.0 expression beadchip
HBEXP000542	HBIN034527	Maslinic acid	Ingredient	GSE111096	Mus musculus	DBA/1J	Synovium			Expression profiling by array	Total RNA	mouse	DBA/1J; Synovium	/	corn oil	GSM3022145; GSM3022146; GSM3022147; GSM3022148; GSM3022149	200 mg/kg of body weight MA	GSM3022150; GSM3022151; GSM3022152; GSM3022153; GSM3022154	oral administration	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000543	HBIN034527	Maslinic acid	Ingredient	GSE39149	Homo sapiens			B lymphocyte	Raji	Expression profiling by array	Total RNA	human cellline	B lymphocyte; Raji	Phorbol ester and sodium butyrate induced	no treatment	GSM957039; GSM957040; GSM957041	19uM maslinic acid for 4h	GSM957042; GSM957043; GSM957044	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000544	HBIN034527	Maslinic acid	Ingredient	GSE39149	Homo sapiens			B lymphocyte	Raji	Expression profiling by array	Total RNA	human cellline	B lymphocyte; Raji	Phorbol ester and sodium butyrate induced	no treatment	GSM957039; GSM957040; GSM957041	19uM maslinic acid for 8h	GSM957045; GSM957046; GSM957047	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000545	HBIN034527	Maslinic acid	Ingredient	GSE39149	Homo sapiens			B lymphocyte	Raji	Expression profiling by array	Total RNA	human cellline	B lymphocyte; Raji	Phorbol ester and sodium butyrate induced	no treatment	GSM957039; GSM957040; GSM957041	19uM maslinic acid for 12h	GSM957048; GSM957049; GSM957050	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000546	HBIN034527	Maslinic acid	Ingredient	GSE39149	Homo sapiens			B lymphocyte	Raji	Expression profiling by array	Total RNA	human cellline	B lymphocyte; Raji	Phorbol ester and sodium butyrate induced	no treatment	GSM957039; GSM957040; GSM957041	19uM maslinic acid for 24h	GSM957051; GSM957052; GSM957053	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000547	HBIN034527	Maslinic acid	Ingredient	GSE39149	Homo sapiens			B lymphocyte	Raji	Expression profiling by array	Total RNA	human cellline	B lymphocyte; Raji	Phorbol ester and sodium butyrate induced	no treatment	GSM957039; GSM957040; GSM957041	19uM maslinic acid for 48h	GSM957054; GSM957055; GSM957056	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000548	HBIN034558	Matrine	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Matrine for 12h	GSM2286328; GSM2286329	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.68 Array
HBEXP000549	HBIN034657	melatonin	Ingredient	GSE115569	Mus musculus	C57BL/6N	Myocardium			Expression profiling by array	Total RNA	mouse	C57BL/6N; Myocardium	/	control	GSM3182541; GSM3182542; GSM3182543; GSM3182544; GSM3182545; GSM3182546	4mg/L melatonin for 1 week	GSM3182547; GSM3182548; GSM3182549; GSM3182550; GSM3182551; GSM3182552	oral	GPL16570:[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [transcript (gene) version]
HBEXP000550	HBIN034657	melatonin	Ingredient	GSE125389	Mus musculus	B6D2F1	Preimplantation embryo			Expression profiling by high throughput sequencing	mRNA	mouse	B6D2F1; Preimplantation embryo	injected with Kdm4a	vehicle control	GSM3573258; GSM3573259; GSM3573260	10uM melatonin	GSM3573261; GSM3573262	treated	GPL16417:Illumina MiSeq (Mus musculus)
HBEXP000551	HBIN034657	melatonin	Ingredient	GSE132119	Homo sapiens			Gastric carcinoma	HGC-27	Expression profiling by array	Total RNA	human cellline	Gastric carcinoma; HGC-27	/	no treatment	GSM3845136; GSM3845137; GSM3845138	melatonin for 24h	GSM3845139; GSM3845140; GSM3845141	treated	GPL16043:GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs)
HBEXP000552	HBIN034657	melatonin	Ingredient	GSE132119	Homo sapiens			Colorectal carcinoma	HCT8	Expression profiling by array	Total RNA	human cellline	Colorectal carcinoma; HCT8	/	no treatment	GSM3845142; GSM3845143; GSM3845144	melatonin for 24h	GSM3845145; GSM3845146; GSM3845147	treated	GPL16043:GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs)
HBEXP000553	HBIN034657	melatonin	Ingredient	GSE132119	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	no treatment	GSM3845148; GSM3845149; GSM3845150	melatonin for 24h	GSM3845151; GSM3845152; GSM3845153	treated	GPL16043:GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs)
HBEXP000554	HBIN034657	melatonin	Ingredient	GSE132119	Homo sapiens			Hepatoma	Huh7	Expression profiling by array	Total RNA	human cellline	Hepatoma; Huh7	/	no treatment	GSM3845154; GSM3845155; GSM3845156	melatonin for 24h	GSM3845157; GSM3845158; GSM3845159	treated	GPL16043:GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs)
HBEXP000555	HBIN034657	melatonin	Ingredient	GSE92612	Homo sapiens			Glioblastoma stem like cell	X01	Expression profiling by array	Total RNA	human cellline	Glioblastoma stem like cell; X01	/	control	GSM2433491; GSM2433493	1mM melatonin for 24h	GSM2433492; GSM2433494	treated	GPL17077:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version)
HBEXP000556	HBIN034745	menthol	Ingredient	GSE28241	Homo sapiens			Prostate cancer	PC-3	Expression profiling by array	Total RNA	human cellline	Prostate cancer; PC-3	/	vehicle control	GSM699129; GSM699130; GSM699131	menthol was dissolved in ethanol as a vehicle at 0.1% 	GSM699132; GSM699133; GSM699134	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000557	HBIN034745	menthol	Ingredient	GSE98933	Mus musculus			Macrophage	RAW 264.7	Expression profiling by array	Total RNA	mouse	Macrophage; RAW 264.7	/	control	GSM2628031; GSM2628032	menthol for 1h	GSM2628035; GSM2628036	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000558	HBIN034827	methionine	Ingredient	GSE11496	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	complete amino acids media	GSM289438; GSM289439	Unfractionated methionine media	GSM289440; GSM289441	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000559	HBIN034827	methionine	Ingredient	GSE11496	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	complete amino acids media	GSM289438; GSM289439	polysome fractionlacking methionine media	GSM289448; GSM289449	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000560	HBIN034827	methionine	Ingredient	GSE11496	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	Gcn2 knockout 	complete amino acids media	GSM289442; GSM289443	Unfractionated methionine media	GSM289444; GSM289445	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000561	HBIN034827	methionine	Ingredient	GSE11496	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	Gcn2 knockout 	complete amino acids media	GSM289442; GSM289443	polysome fractionlacking methionine media	GSM289452; GSM289453	treated	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000562	HBIN034827	methionine	Ingredient	GSE117188	Mus musculus	C57BL/6N	Liver			Expression profiling by array	mRNA	mouse  C57BL/6J	C57BL/6N; Liver	/	control diet	GSM3273172; GSM3273173; GSM3273174	methione restriction	GSM3273175; GSM3273176; GSM3273177	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000563	HBIN034827	methionine	Ingredient	GSE117188	Mus musculus	C57BL/6N	Liver			Expression profiling by array	mRNA	mouse  C57BL/6J	C57BL/6N; Liver	Lmna G609G/G609G KI	control diet	GSM3273166; GSM3273167; GSM3273168	methione restriction	GSM3273169; GSM3273170; GSM3273171	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000564	HBIN034827	methionine	Ingredient	GSE72131	Homo sapiens			Colon cancer	HCT116	Expression profiling by high throughput sequencing	mRNA	human cellline	Colon cancer; HCT116	/	DMSO	GSM1855853; GSM1855854	methionine for 24h	GSM1855851; GSM1855852	treated	GPL16791:Illumina HiSeq 2500 (Homo sapiens)
HBEXP000565	HBIN034827	methionine	Ingredient	GSE77757	Mus musculus			Embryonic stem cell	ES	Expression profiling by array	Total RNA	mouse	Embryonic stem cell; ES	/	complete medium	GSM2058719; GSM2058720; GSM2058721	methioine restricted medium (6met) for 6h	GSM2058710; GSM2058711; GSM2058712	treated	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000566	HBIN034827	methionine	Ingredient	GSE77757	Mus musculus			Embryonic stem cell	ES	Expression profiling by array	Total RNA	mouse	Embryonic stem cell; ES	/	complete medium	GSM2058719; GSM2058720; GSM2058721	methioine restricted medium (6met) for 24h	GSM2058713; GSM2058714; GSM2058715	treated	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000567	HBIN034827	methionine	Ingredient	GSE77757	Mus musculus			Embryonic stem cell	ES	Expression profiling by array	Total RNA	mouse	Embryonic stem cell; ES	/	complete medium	GSM2058719; GSM2058720; GSM2058721	methioine restricted medium (6met) for 72h	GSM2058716; GSM2058717; GSM2058718	treated	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
