EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000377	HBIN026658	formaldehyde	Ingredient	GSE87541	Homo sapiens			Bronchial epithelial cell	BEAS-2B	Expression profiling by high throughput sequencing	mRNA	human cellline	Bronchial epithelial cell; BEAS-2B	/	control	GSM2333546; GSM2333547	generated by deep sequencing in duplicates using Ilumina HiSeq	GSM2333548; GSM2333549	treated	GPL16791:Illumina HiSeq 2500 (Homo sapiens)
HBEXP000378	HBIN026793	fructose	Ingredient	GSE108446	Mus musculus	C57BL/6	Hippocampus			Expression profiling by high throughput sequencing	mRNA	mouse C56BL/6 male	C57BL/6; Hippocampus	/	drinking water	GSM2898241; GSM2898242; GSM2898243; GSM2898244	fructose (15% w/v) in the drinking water for 6 weeks	GSM2898245; GSM2898246; GSM2898247; GSM2898248	treated	GPL17021:Illumina HiSeq 2500 (Mus musculus)
HBEXP000379	HBIN026793	fructose	Ingredient	GSE123875	Mus musculus	C57BL/6J	Mesenteric adipose			Expression profiling by high throughput sequencing	mRNA	mouse C57BL/6J	C57BL/6J; Mesenteric adipose	/	drinking water	GSM3514968; GSM3514969; GSM3514970; GSM3514971	8% w/v fructose in the drinking water for 14 weeks	GSM3514966; GSM3514967	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000380	HBIN026793	fructose	Ingredient	GSE123875	Mus musculus	FVB/NJ	Mesenteric adipose			Expression profiling by high throughput sequencing	mRNA	mouse FVB/NJ	FVB/NJ; Mesenteric adipose	/	drinking water	GSM3514988; GSM3514989; GSM3514990	8% w/v fructose in the drinking water for 14 weeks	GSM3514983; GSM3514984; GSM3514985; GSM3514986; GSM3514987	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000381	HBIN026793	fructose	Ingredient	GSE123893	Mus musculus	C57BL/6J	Hypothalamus			Expression profiling by high throughput sequencing	mRNA	mouse C57BL/6J	C57BL/6J; Hypothalamus	/	drinking water	GSM3515220; GSM3515221; GSM3515222; GSM3515223	8% w/v fructose in the drinking water for 14 weeks	GSM3515216; GSM3515217; GSM3515218; GSM3515219	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000382	HBIN026793	fructose	Ingredient	GSE123893	Mus musculus	DBA/2J	Hypothalamus			Expression profiling by high throughput sequencing	mRNA	mouse DBA	DBA/2J; Hypothalamus	/	drinking water	GSM3515228; GSM3515229; GSM3515230; GSM3515231	8% w/v fructose in the drinking water for 14 weeks	GSM3515224; GSM3515225; GSM3515226; GSM3515227	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000383	HBIN026793	fructose	Ingredient	GSE123893	Mus musculus	FVB/NJ	Hypothalamus			Expression profiling by high throughput sequencing	mRNA	mouse FVB/NJ	FVB/NJ; Hypothalamus	/	drinking water	GSM3515236; GSM3515237; GSM3515238; GSM3515239	8% w/v fructose in the drinking water for 14 weeks	GSM3515232; GSM3515233; GSM3515234; GSM3515235	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000384	HBIN026793	fructose	Ingredient	GSE123894	Mus musculus	C57BL/6J	Liver			Expression profiling by high throughput sequencing	mRNA	mouse C57BL/6J	C57BL/6J; Liver	/	drinking water	GSM3515630; GSM3515631; GSM3515632; GSM3515633; GSM3515634; GSM3515635	8% w/v fructose in the drinking water for 14 weeks	GSM3515624; GSM3515625; GSM3515626; GSM3515627; GSM3515628; GSM3515629	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000385	HBIN026793	fructose	Ingredient	GSE123894	Mus musculus	DBA/2J	Liver			Expression profiling by high throughput sequencing	mRNA	mouse DBA	DBA/2J; Liver	/	drinking water	GSM3515642; GSM3515643; GSM3515644; GSM3515645; GSM3515646; GSM3515647	8% w/v fructose in the drinking water for 14 weeks	GSM3515636; GSM3515637; GSM3515638; GSM3515639; GSM3515640; GSM3515641	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
HBEXP000386	HBIN026793	fructose	Ingredient	GSE123894	Mus musculus	FVB/NJ	Liver			Expression profiling by high throughput sequencing	mRNA	mouse FVB/NJ	FVB/NJ; Liver	/	drinking water	GSM3515654; GSM3515655; GSM3515656; GSM3515657; GSM3515658; GSM3515659	8% w/v fructose in the drinking water for 14 weeks	GSM3515648; GSM3515649; GSM3515650; GSM3515651; GSM3515652; GSM3515653	treated	GPL21103:Illumina HiSeq 4000 (Mus musculus)
