Herb_,Herb_cn_name,segmented_function,segmented_indication
HERB000359,薄片矢车菊,[],[]
HERB000360,包片鼠尾草,[],[]
HERB000361,,[],[]
HERB000362,,[],[]
HERB000363,,[],[]
HERB000364,,[],[]
HERB000365,飞燕草,[],[]
HERB000366,,[],[]
HERB000367,苞叶香茶菜,[],[]
HERB000368,孢子甘蓝,[],[]
HERB000369,,[],[]
HERB000370,,[],[]
HERB000371,北苍术,[],[]
HERB000372,北侧金盏花,[],[]
HERB000373,北豆根,[],[]
HERB000374,,[],[]
HERB000375,北方枸杞根皮,[],[]
HERB000376,北方乌头,[],[]
HERB000377,北非雪松,[],[]
HERB000378,,[],[]
HERB000379,北海当归,[],[]
HERB000380,,[],[]
HERB000381,北黄花菜,[],[]
HERB000382,贝加尔唐松草,[],[]
HERB000383,,[],[]
HERB000384,,[],[]
HERB000385,贝壳杉,[],[]
HERB000386,,[],[]
HERB000387,北刘寄奴,[],[]
HERB000388,北马兜铃,[],[]
HERB000389,北马兜铃根,[],[]
HERB000390,北美艾蒿,[],[]
HERB000391,北美鹅掌楸,[],[]
HERB000392,北美鬼臼,[],[]
HERB000393,北美红杉,[],[]
HERB000394,北美球子蕨,[],[]
HERB000395,北美葶苈子,[],[]
HERB000396,北美香柏,[],[]
HERB000397,,[],[]
HERB000398,北美圆柏,[],[]
HERB000399,北美洲山梗菜,[],[]
HERB000400,贝母,[],[]
HERB000401,贝母兰,[],[]
HERB000402,杯鞘石斛,[],[]
HERB000403,北沙参,[],[]
HERB000404,,[],[]
HERB000405,北水苦荬,[],[]
HERB000406,北五加皮,[],[]
HERB000407,北乌头,[],[]
HERB000408,北五味,[],"['vitro.2', 'damage.3', 'rate.4']"
HERB000409,北五味子,[],[]
HERB000410,,[],[]
HERB000411,北野菊,[],[]
HERB000412,北越钩藤,[],[]
HERB000413,,[],[]
HERB000414,,[],[]
HERB000415,荜茇,[],[]
HERB000416,荜茇根,[],[]
HERB000417,毕澄茄,[],[]
HERB000418,荜澄茄,[],[]
HERB000419,篦齿眼子菜,[],[]
HERB000420,,[],[]
HERB000421,碧冬茄,[],[]
HERB000422,,[],[]
HERB000423,,[],[]
HERB000424,秘鲁钩藤,[],[]
HERB000425,秘鲁古柯,[],[]
HERB000426,,[],[]
HERB000427,秘鲁香蕉,[],[]
HERB000428,,[],[]
HERB000429,蓖麻根,[],[]
HERB000430,蓖麻叶,[],[]
HERB000431,蓖麻油,[],[]
HERB000432,蓖麻子,[],[]
HERB000433,蓖麻子与蓖麻油,[],[]
HERB000434,蓖麻叶,[],[]
HERB000435,,[],[]
HERB000436,彼氏堆心菊,[],[]
HERB000437,萝芙木,[],[]
HERB000438,碧桃干,[],[]
HERB000439,萆薢,[],[]
HERB000440,碧玉散,[],[]
HERB000441,壁纸唐松草,[],[]
HERB000442,,[],[]
HERB000443,马利筋,[],[]
HERB000444,鳞毛蕨,[],[]
HERB000445,马利筋,[],[]
HERB000446,,[],[]
HERB000447,鞭打绣球,[],[]
HERB000448,遍地锦,[],[]
HERB000449,,[],[]
HERB000450,扁豆,[],[]
HERB000451,变豆菜叶,[],[]
HERB000452,扁豆根,[],[]
HERB000453,扁豆花,[],[]
HERB000454,扁豆藤,[],[]
HERB000455,扁豆叶,[],[]
HERB000456,蝙蝠葛,[],[]
HERB000457,蝙蝠葛根,[],[]
HERB000458,,[],[]
HERB000459,绞股蓝,[],[]
HERB000460,山黧豆,[],[]
HERB000461,扁茎黄芪,[],[]
HERB000462,扁茎沿阶草,[],[]
HERB000463,,[],[]
HERB000464,,[],[]
HERB000465,变色马兜铃,[],[]
HERB000466,变色石竹,[],[]
HERB000467,扁蒴藤,[],[]
HERB000468,鞭苔,[],[]
HERB000469,扁桃,[],[]
HERB000470,,[],[]
HERB000471,变形木兰,[],[]
HERB000472,萹蓄,[],[]
HERB000473,鞭叶铁线蕨,[],[]
HERB000474,变异凤尾蕨,[],[]
HERB000475,,[],[]
HERB000476,边缘鳞盖蕨,[],[]
HERB000477,边缘鳞毛蕨,[],[]
HERB000478,扁枝槲寄生,[],[]
HERB000479,变种长叶暗罗,[],[]
HERB000480,变种尖槐藤,[],[]
HERB000481,扁竹根,[],[]
HERB000482,鞭柱唐松草,[],[]
HERB000483,荜澄茄,[],[]
HERB000484,鳖甲,[],[]
HERB000485,别致琉璃草,[],[]
HERB000486,滨海当归,[],[]
HERB000487,滨海前胡,[],[]
HERB000488,,[],[]
HERB000489,,[],[]
HERB000490,,[],[]
HERB000491,,[],[]
HERB000492,冰豆,[],[]
HERB000493,柄果槲寄生,[],[]
HERB000494,柄果花椒,[],[]
HERB000495,冰果唐松草,[],[]
HERB000496,,[],[]
HERB000497,槟榔,[],[]
HERB000498,冰片,[],[]
HERB000499,冰蛇床,[],[]
HERB000500,冰糖,[],[]
HERB000501,并头草,[],[]
HERB000502,并头黄芩,[],[]
HERB000503,,[],[]
HERB000504,,[],[]
HERB000505,波瓣合叶苔,[],[]
HERB000506,菠菜,[],[]
HERB000507,伯格斑鸠菊,[],[]
HERB000508,薄荷,[],[]
HERB000509,薄荷脑,[],[]
HERB000510,薄荷油,[],[]
HERB000511,伯乐树,[],[]
HERB000512,波棱瓜子,[],[]
HERB000513,伯利兹花椒,[],[]
HERB000514,,[],[]
HERB000515,,[],[]
HERB000516,,[],[]
HERB000517,,[],[]
HERB000518,,[],[]
HERB000519,,[],[]
HERB000520,博落回,[],[]
HERB000521,菠萝蜜,[],[]
HERB000522,菠萝香藤,[],[]
HERB000523,播娘蒿,[],[]
HERB000524,黄瓜,[],[]
HERB000525,,[],[]
HERB000526,,[],[]
HERB000527,,[],[]
HERB000528,,[],[]
HERB000529,波士茄,[],[]
HERB000530,,[],[]
HERB000531,波士吴茱萸,[],[]
HERB000532,,[],[]
HERB000533,波斯益母草,[],[]
HERB000534,波斯罂粟,[],[]
HERB000535,,[],[]
HERB000536,,[],[]
HERB000537,波叶大黄,[],[]
HERB000538,波叶枯木,[],[]
HERB000539,波叶山橙,[],[]
HERB000540,,[],[]
HERB000541,波叶乌头,[],[]
HERB000542,,[],[]
HERB000543,,[],[]
HERB000544,,[],[]
HERB000545,,[],[]
